StudyID,Year,Age,Location,Test,TP,FP,TN,FN
Belinson JL 2003,2003,Age >30,Asia,HC2,363,1652,6470,12
Belinson JL 2003,2003,Age >30,Asia,LBC,331,1523,6599,44
Bigras G 2005,2005,Any age,Europe,HC2,80,1063,12697,2
Bigras G 2005,2005,Any age,Europe,LBC,48,445,13315,34
Cardenas-Turanzas M 2008,2008,Age >30,North America,CC,7,52,767,9
Cardenas-Turanzas M 2008,2008,Age >30,North America,HC2,11,55,764,5
Clavel C 2001,2001,Any age,Europe,CC,32,104,2130,15
Clavel C 2001,2001,Any age,Europe,HC2,129,1085,6718,0
Clavel C 2001,2001,Any age,Europe,LBC,72,385,5184,10
Cuzick J 2003,2003,Age >30,Europe,CC,75,427,9841,15
Cuzick J 2003,2003,Age >30,Europe,HC2,87,697,9571,3
de Cremoux P 2003,2003,Any age,Europe,CC,35,141,1573,6
de Cremoux P 2003,2003,Any age,Europe,HC2,150,331,1273,31
de Cremoux P 2003,2003,Any age,Europe,LBC,32,189,1529,9
Ferreccio C 2013,2013,Any age,Central and South America,CC,33,99,8017,63
Ferreccio C 2013,2013,Any age,Central and South America,HC2,91,742,7374,5
Gravitt PE 2010,2010,Any age,Asia,CC,26,313,1862,30
Gravitt PE 2010,2010,Any age,Asia,HC2,34,200,1975,22
Li N 2009,2009,Any age,Asia,HC2,67,351,2137,7
Li N 2009,2009,Any age,Asia,LBC,69,370,2118,5
Mahmud SM 2012,2011,Age >30,Africa,CC,22,94,1264,6
Mahmud SM 2012,2011,Age >30,Africa,HC2,21,148,1180,3
Monsonego J 2011,2011,Any age,Europe,HC2,98,595,3733,3
Monsonego J 2011,2011,Any age,Europe,LBC,70,355,3973,31
Moy LM 2010,2010,Age >30,Asia,HC2,204,1037,7268,8
Moy LM 2010,2010,Age >30,Asia,LBC,175,860,7816,37
Pan Q 2003,2003,Age >30,Asia,HC2,79,248,1505,4
Pan Q 2003,2003,Age >30,Asia,LBC,81,432,1475,5
Petry KU 2003,2003,Age >30,Europe,CC,20,156,7706,26
Petry KU 2003,2003,Age >30,Europe,HC2,45,369,7493,1
Ronco G 2006,2006,Age >30,Europe,HC2,73,1112,15223,2
Ronco G 2006,2006,Age >30,Europe,LBC,54,850,15593,19
Salmeron J 2003,2003,Any age,Central and South America,CC,60,127,7504,41
Salmeron J 2003,2003,Any age,Central and South America,HC2,94,626,7205,7
Wu R 2010,2010,Any age,Asia,HC2,24,306,1682,3
Wu R 2010,2010,Any age,Asia,LBC,18,89,1899,9
